sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
1445,0,"Such",0,4,"JJ","JJ",5,"Such"
1445,1,"seems",4,9,"VBZ","VB",5,"seem"
1445,2,"your",9,13,"PRP$","WP",2,"your"
1445,3,"beauty",13,19,"NN","NN",2,"beauti"
1445,4,"still",19,24,"RB","RB",1,"still"
1445,5,".",24,25,".",".",1,"."
1445,6,"Three",25,30,"CD","CD",1,"Three"
1445,7,"winters",30,37,"NNS","NN",1,"winter"
1445,8,"cold",37,41,"JJ","JJ",3,"cold"
1445,9,",",41,42,",",",",6,","
1446,0,"Have",0,4,"NNP","NN",2,"Have"
1446,1,"from",4,8,"IN","IN",2,"from"
1446,2,"the",8,11,"DT","DT",1,"the"
1446,3,"forests",11,18,"NNS","NN",1,"forest"
1446,4,"shook",18,23,"VBD","VB",3,"shook"
1446,5,"three",23,28,"CD","CD",1,"three"
1446,6,"summers",28,35,"NNS","NN",1,"summer"
1446,7,"'",35,36,"POS","POS",1,"'"
1446,8,"pride",36,41,"NN","NN",2,"pride"
1446,9,",",41,42,",",",",4,","
1447,0,"Three",0,5,"CD","CD",3,"Three"
1447,1,"beauteous",5,14,"NNS","NN",3,"beauteou"
1447,2,"springs",14,21,"JJ","JJ",3,"spring"
1447,3,"to",21,23,"TO","TO",2,"to"
1447,4,"yellow",23,29,"JJ","JJ",1,"yellow"
1447,5,"autumn",29,35,"NN","NN",1,"autumn"
1447,6,"turn",35,39,"NN","NN",1,"turn"
1447,7,"'d",39,41,"MD","MD",4,"'d"
1447,8,",",41,42,",",",",5,","
1448,0,"In",0,2,"IN","IN",9,"In"
1448,1,"process",2,9,"NN","NN",7,"process"
1448,2,"of",9,11,"IN","IN",7,"of"
1448,3,"the",11,14,"DT","DT",5,"the"
1448,4,"seasons",14,21,"NNS","NN",5,"season"
1448,5,"have",21,25,"VBP","VB",3,"have"
1448,6,"I",25,26,"PRP","WP",1,"I"
1448,7,"seen",26,30,"VBN","VB",1,"seen"
1448,8,",",30,31,",",",",8,","
1449,0,"Three",0,5,"NNP","NN",5,"Three"
1449,1,"April",5,10,"NNP","NN",5,"April"
1449,2,"perfumes",10,18,"VBZ","VB",5,"perfum"
1449,3,"in",18,20,"IN","IN",4,"in"
1449,4,"three",20,25,"CD","CD",2,"three"
1449,5,"hot",25,28,"JJ","JJ",2,"hot"
1449,6,"Junes",28,33,"NNS","NN",2,"June"
1449,7,"burn",33,37,"VBP","VB",2,"burn"
1449,8,"'d",37,39,"NNP","NN",1,"'d"
1449,9,",",39,40,",",",",6,","
1450,0,"Since",0,5,"IN","IN",5,"Sinc"
1450,1,"first",5,10,"JJ","JJ",4,"first"
1450,2,"I",10,11,"PRP","WP",5,"I"
1450,3,"saw",11,14,"VBD","VB",5,"saw"
1450,4,"you",14,17,"PRP","WP",3,"you"
