sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
153,11,",",39,40,",",",",5,","
154,0,"Thou",0,4,"PRP","WP",6,"Thou"
154,1,"shouldst",4,12,"VBP","VB",6,"shouldst"
154,2,"print",12,17,"NN","NN",5,"print"
154,3,"more",17,21,"RBR","RB",5,"more"
154,4,",",21,22,",",",",6,","
154,5,"not",22,25,"RB","RB",5,"not"
154,6,"let",25,28,"VB","VB",4,"let"
154,7,"that",28,32,"IN","IN",3,"that"
154,8,"copy",32,36,"NN","NN",1,"copi"
154,9,"die",36,39,"VBP","VB",1,"die"
154,10,".",39,40,".",".",7,"."
155,0,"When",0,4,"WRB","RB",8,"When"
155,1,"I",4,5,"PRP","WP",7,"I"
155,2,"do",5,7,"VBP","VB",7,"do"
155,3,"count",7,12,"VB","VB",6,"count"
155,4,"the",12,15,"DT","DT",4,"the"
155,5,"clock",15,20,"NN","NN",4,"clock"
155,6,"that",20,24,"WDT","WDT",3,"that"
155,7,"tells",24,29,"VBZ","VB",2,"tell"
155,8,"the",29,32,"DT","DT",1,"the"
155,9,"time",32,36,"NN","NN",1,"time"
155,10,",",36,37,",",",",6,","
156,0,"And",0,3,"CC","CC",5,"And"
156,1,"see",3,6,"VBP","VB",5,"see"
156,2,"the",6,9,"DT","DT",3,"the"
156,3,"brave",9,14,"JJ","JJ",2,"brave"
156,4,"day",14,17,"NN","NN",3,"dai"
156,5,"sunk",17,21,"VBN","VB",3,"sunk"
156,6,"in",21,23,"IN","IN",2,"in"
156,7,"hideous",23,30,"JJ","JJ",1,"hideou"
156,8,"night",30,35,"NN","NN",2,"night"
156,9,";",35,36,":",":",6,";"
157,0,"When",0,4,"WRB","RB",4,"When"
157,1,"I",4,5,"PRP","WP",3,"I"
157,2,"behold",5,11,"VBD","VB",3,"behold"
157,3,"the",11,14,"DT","DT",2,"the"
157,4,"violet",14,20,"NN","NN",2,"violet"
157,5,"past",20,24,"IN","IN",2,"past"
157,6,"prime",24,29,"JJ","JJ",1,"prime"
157,7,",",29,30,",",",",4,","
158,0,"And",0,3,"CC","CC",5,"And"
158,1,"sable",3,8,"RB","RB",4,"sabl"
158,2,"curls",8,13,"VBZ","VB",3,"curl"
158,3,",",13,14,",",",",4,","
158,4,"all",14,17,"DT","DT",2,"all"
158,5,"silvered",17,25,"JJ","JJ",2,"silver"
158,6,"o'er",25,29,"NN","NN",2,"o'er"
158,7,"with",29,33,"IN","IN",2,"with"
158,8,"white",33,38,"JJ","JJ",1,"white"
158,9,";",38,39,":",":",5,";"
159,0,"When",0,4,"WRB","RB",5,"When"
159,1,"lofty",4,9,"JJ","JJ",4,"lofti"
159,2,"trees",9,14,"NNS","NN",4,"tree"
159,3,"I",14,15,"PRP","WP",4,"I"
159,4,"see",15,18,"VBP","VB",4,"see"
159,5,"barren",18,24,"JJ","JJ",2,"barren"
159,6,"of",24,26,"IN","IN",2,"of"
159,7,"leaves",26,32,"NNS","NN",1,"leav"
159,8,",",32,33,",",",",5,","
160,0,"Which",0,5,"WDT","WDT",9,"Which"
160,1,"erst",5,9,"VBP","VB",9,"erst"
160,2,"from",9,13,"IN","IN",8,"from"
160,3,"heat",13,17,"NN","NN",6,"heat"
160,4,"did",17,20,"VBD","VB",4,"did"
160,5,"canopy",20,26,"VBG","VB",2,"canopi"
160,6,"the",26,29,"DT","DT",1,"the"
160,7,"herd",29,33,"NN","NN",1,"herd"
160,8,",",33,34,",",",",10,","
161,0,"And",0,3,"CC","CC",4,"And"
161,1,"summer",3,9,"NN","NN",2,"summer"
161,2,"'s",9,11,"POS","POS",2,"'s"
161,3,"green",11,16,"NN","NN",3,"green"
161,4,"all",16,19,"DT","DT",3,"all"
161,5,"girded",19,25,"VBD","VB",3,"gird"
161,6,"up",25,27,"RP","RP",2,"up"
161,7,"in",27,29,"IN","IN",2,"in"
161,8,"sheaves",29,36,"NNS","NN",1,"sheav"
161,9,",",36,37,",",",",4,","
162,0,"Borne",0,5,"RB","RB",4,"Born"
162,1,"on",5,7,"IN","IN",5,"on"
162,2,"the",7,10,"DT","DT",3,"the"
162,3,"bier",10,14,"NN","NN",3,"bier"
162,4,"with",14,18,"IN","IN",3,"with"
162,5,"white",18,23,"JJ","JJ",1,"white"
162,6,"and",23,26,"CC","CC",1,"and"
162,7,"bristly",26,33,"JJ","JJ",1,"bristli"
162,8,"beard",33,38,"NN","NN",2,"beard"
162,9,",",38,39,",",",",6,","
163,0,"Then",0,4,"RB","RB",6,"Then"
163,1,"of",4,6,"IN","IN",6,"of"
163,2,"thy",6,9,"PRP$","WP",4,"thy"
163,3,"beauty",9,15,"NN","NN",4,"beauti"
163,4,"do",15,17,"VBP","VB",4,"do"
163,5,"I",17,18,"PRP","WP",2,"I"
163,6,"question",18,26,"NN","NN",2,"question"
163,7,"make",26,30,"VB","VB",1,"make"
163,8,",",30,31,",",",",3,","
164,0,"That",0,4,"DT","DT",5,"That"
164,1,"thou",4,8,"RB","RB",5,"thou"
164,2,"among",8,13,"IN","IN",4,"among"
164,3,"the",13,16,"DT","DT",2,"the"
164,4,"wastes",16,22,"NNS","NN",2,"wast"
164,5,"of",22,24,"IN","IN",2,"of"
164,6,"time",24,28,"NN","NN",1,"time"
164,7,"must",28,32,"MD","MD",5,"must"
164,8,"go",32,34,"VB","VB",4,"go"
164,9,",",34,35,",",",",6,","
165,0,"Since",0,5,"IN","IN",5,"Sinc"
165,1,"sweets",5,11,"NNS","NN",3,"sweet"
165,2,"and",11,14,"CC","CC",3,"and"
165,3,"beauties",14,22,"NNS","NN",3,"beauti"
165,4,"do",22,24,"VBP","VB",3,"do"
165,5,"themselves",24,34,"PRP","WP",1,"themselv"
165,6,"forsake",34,41,"JJ","JJ",1,"forsak"
166,0,"And",0,3,"CC","CC",9,"And"
166,1,"die",3,6,"VB","VB",7,"die"
166,2,"as",6,8,"RB","RB",5,"as"
166,3,"fast",8,12,"RB","RB",5,"fast"
166,4,"as",12,14,"IN","IN",5,"as"
166,5,"they",14,18,"PRP","WP",3,"thei"
166,6,"see",18,21,"VBP","VB",3,"see"
166,7,"others",21,27,"NNS","NN",1,"other"
166,8,"grow",27,31,"VB","VB",1,"grow"
166,9,";",31,32,":",":",5,";"
167,0,"And",0,3,"CC","CC",4,"And"
167,1,"nothing",3,10,"NN","NN",3,"noth"
167,2,"`",10,11,"``","``",4,"`"
167,3,"gainst",11,17,"VBP","VB",3,"gainst"
167,4,"Time",17,21,"NNP","NN",1,"Time"
167,5,"'s",21,23,"POS","POS",1,"'s"
167,6,"scythe",23,29,"NN","NN",2,"scyth"
167,7,"can",29,32,"MD","MD",4,"can"
167,8,"make",32,36,"VB","VB",3,"make"
167,9,"defence",36,43,"NN","NN",4,"defenc"
168,0,"Save",0,4,"NNP","NN",8,"Save"
168,1,"breed",4,9,"VBP","VB",8,"breed"
168,2,",",9,10,",",",",8,","
168,3,"to",10,12,"TO","TO",6,"to"
168,4,"brave",12,17,"VB","VB",5,"brave"
168,5,"him",17,20,"PRP","WP",4,"him"
168,6,"when",20,24,"WRB","RB",3,"when"
168,7,"he",24,26,"PRP","WP",2,"he"
168,8,"takes",26,31,"VBZ","VB",2,"take"
168,9,"thee",31,35,"PRP","WP",1,"thee"
168,10,"hence",35,40,"RB","RB",1,"henc"
168,11,".",40,41,".",".",9,"."
169,0,"O",0,1,"NNP","NN",5,"O"
169,1,"!",1,2,".",".",5,"!"
169,2,"that",2,6,"IN","IN",5,"that"
169,3,"you",6,9,"PRP","WP",3,"you"
169,4,"were",9,13,"VBD","VB",3,"were"
169,5,"your",13,17,"PRP$","WP",1,"your"
169,6,"self",17,21,"NN","NN",1,"self"
169,7,";",21,22,":",":",2,";"
169,8,"but",22,25,"CC","CC",1,"but"
169,9,",",25,26,",",",",7,","
169,10,"love",26,30,"VBP","VB",6,"love"
169,11,"you",30,33,"PRP","WP",3,"you"
169,12,"are",33,36,"VBP","VB",3,"ar"
170,0,"No",0,2,"RB","RB",3,"No"
170,1,"longer",2,8,"RB","RB",3,"longer"
170,2,"yours",8,13,"RB","RB",3,"your"
170,3,",",13,14,",",",",4,","
170,4,"than",14,18,"IN","IN",2,"than"
170,5,"you",18,21,"PRP","WP",1,"you"
170,6,"your",21,25,"PRP$","WP",2,"your"
170,7,"self",25,29,"NN","NN",2,"self"
170,8,"here",29,33,"RB","RB",1,"here"
170,9,"live",33,37,"VBP","VB",2,"live"
170,10,":",37,38,":",":",4,":"
171,0,"Against",0,7,"IN","IN",6,"Against"
171,1,"this",7,11,"DT","DT",4,"thi"
171,2,"coming",11,17,"JJ","JJ",4,"come"
171,3,"end",17,20,"NN","NN",4,"end"
171,4,"you",20,23,"PRP","WP",2,"you"
171,5,"should",23,29,"MD","MD",2,"should"
171,6,"prepare",29,36,"VB","VB",1,"prepar"
171,7,",",36,37,",",",",3,","
172,0,"And",0,3,"CC","CC",4,"And"
172,1,"your",3,7,"PRP$","WP",2,"your"
172,2,"sweet",7,12,"JJ","JJ",2,"sweet"
172,3,"semblance",12,21,"NN","NN",2,"semblanc"
172,4,"to",21,23,"TO","TO",2,"to"
172,5,"some",23,27,"DT","DT",1,"some"
172,6,"other",27,32,"JJ","JJ",1,"other"
172,7,"give",32,36,"VBP","VB",3,"give"
172,8,":",36,37,":",":",4,":"
173,0,"So",0,2,"RB","RB",7,"So"
173,1,"should",2,8,"MD","MD",6,"should"
173,2,"that",8,12,"DT","DT",6,"that"
173,3,"beauty",12,18,"NN","NN",6,"beauti"
173,4,"which",18,23,"WDT","WDT",4,"which"
173,5,"you",23,26,"PRP","WP",3,"you"
173,6,"hold",26,30,"VBP","VB",3,"hold"
173,7,"in",30,32,"IN","IN",2,"in"
173,8,"lease",32,37,"NN","NN",1,"leas"
174,0,"Find",0,4,"VB","VB",6,"Find"
174,1,"no",4,6,"DT","DT",4,"no"
174,2,"determination",6,19,"NN","NN",4,"determin"
